schemaVersion,recordType,source.name,source.url,content.title,content.published_date,collectedAt
1.0,NEWS,MIT Technology Review AI,https://www.technologyreview.com/2026/09/03/1143320/fertilizer-prices-fossil-fuels/,Agriculture relies on fossil fuels. It’s costing us.,2026-09-03T10:00:00+00:00,2026-09-03T10:32:58.478296+00:00
1.0,NEWS,MIT Technology Review AI,https://www.technologyreview.com/2026/09/03/1142868/scaling-agentic-ai-pilots-across-the-enterprise/,Scaling agentic AI pilots across the enterprise,2026-09-03T09:30:32+00:00,2026-09-03T10:32:58.478344+00:00
1.0,NEWS,MIT Technology Review AI,https://www.technologyreview.com/2026/09/02/1142879/facilitating-ai-integration-with-simplicity-at-scale/,Facilitating AI integration with simplicity at scale,2026-09-02T14:00:00+00:00,2026-09-03T10:32:58.478362+00:00
1.0,NEWS,MIT Technology Review AI,https://www.technologyreview.com/2026/09/02/1143283/the-download-ai-puzzles-alpha-centauri-mission/,The Download: AI puzzles and a path to our nearest star system,2026-09-02T12:10:00+00:00,2026-09-03T10:32:58.478375+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/the-builders-stage-brings-practical-strategies-for-scaling-startups-to-techcrunch-disrupt-2026/,The Builders Stage brings practical strategies for scaling startups to TechCrunch Disrupt 2026,2026-09-02T23:01:00+00:00,2026-09-03T10:32:58.480059+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/palo-alto-networks-paid-500m-for-thrive-backed-console-sources-say/,"Palo Alto Networks paid $500M for Thrive-backed Console, sources say",2026-09-02T22:44:56+00:00,2026-09-03T10:32:58.480076+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/techcrunch-disrupt-2026s-new-real-world-ai-stage-features-nvidia-robots-and-extinct-animals/,"TechCrunch Disrupt 2026’s new Real World AI Stage features Nvidia, robots, and extinct animals",2026-09-02T22:24:09+00:00,2026-09-03T10:32:58.480090+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/openais-new-reasoning-technique-alarms-ai-safety-experts/,OpenAI’s new reasoning technique alarms AI safety experts,2026-09-02T20:19:14+00:00,2026-09-03T10:32:58.480102+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/video/pangrams-max-spero-on-why-ai-detection-is-harder-than-real-or-fake/,Pangram’s Max Spero on why AI detection is harder than ‘Real or Fake’,2026-09-02T17:18:13+00:00,2026-09-03T10:32:58.480115+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/podcast/were-dangerously-close-to-dead-internet-theory-says-pangrams-ceo/,"We’re ‘dangerously close’ to dead internet theory, says Pangram’s CEO",2026-09-02T17:09:57+00:00,2026-09-03T10:32:58.480126+00:00
1.0,NEWS,TechCrunch AI,https://techcrunch.com/2026/09/02/u-s-government-sides-with-openai-on-issue-of-training-llms-on-copyrighted-material/,US government sides with OpenAI on issue of training LLMs on copyrighted material,2026-09-02T17:09:06+00:00,2026-09-03T10:32:58.480137+00:00
