schemaVersion,recordType,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,A Common Measure of Communication for Speech Brain-Computer Interfaces,"Dulhan Jayalath, Benjamin Ballyk, Oiwi Parker Jones",http://arxiv.org/abs/2609.02887v1,,0,2026-09-02T17:59:46Z,2026-09-03T09:58:53.871560Z
1.0,RESEARCH_PAPER,Discriminative World Models for Web Agents,"Kelvin Li, Dhruv Pendharkar, Anish Pahilajani, Chuyi Shang, Leon Oks, Leonid Karlinsky, Rogerio Feris, Trevor Darrell, Roei Herzig",http://arxiv.org/abs/2609.02885v1,,0,2026-09-02T17:59:40Z,2026-09-03T09:58:53.871643Z
1.0,RESEARCH_PAPER,Graph Machine: Towards Better Pretraining via Edges,Lintai Hou,http://arxiv.org/abs/2609.02881v1,,0,2026-09-02T17:56:41Z,2026-09-03T09:58:53.871671Z
1.0,RESEARCH_PAPER,GRADSOLVE: fast exact gradients for ODE ensembles on GPUs,Alessio Spurio Mancini,http://arxiv.org/abs/2609.02876v1,https://github.com/ECLIPSE-AI4Science/gradsolve,3,2026-09-02T17:56:10Z,2026-09-03T09:58:53.871698Z
1.0,RESEARCH_PAPER,Towards Trustworthy Autonomous Robots: An Explainable AI-Based Decision Framework,Cagri Temel,http://arxiv.org/abs/2609.02861v1,,0,2026-09-02T17:44:25Z,2026-09-03T09:58:53.871719Z
1.0,RESEARCH_PAPER,User Feedback Provides a Unique Signal that LLMs Can not Detect,"Shachar Don-Yehiya, Leshem Choshen, Omri Abend",http://arxiv.org/abs/2609.02859v1,,0,2026-09-02T17:42:44Z,2026-09-03T09:58:53.871742Z
1.0,RESEARCH_PAPER,Improved Gradient Descent Lower Bounds Beyond Nesterov,"Yuhan Ye, Kaizhao Liu",http://arxiv.org/abs/2609.02855v1,,0,2026-09-02T17:39:52Z,2026-09-03T09:58:53.871777Z
1.0,RESEARCH_PAPER,The Implications of Linguistic Illegibility for LLM Security,James Mickens,http://arxiv.org/abs/2609.02852v1,,0,2026-09-02T17:37:22Z,2026-09-03T09:58:53.871797Z
1.0,RESEARCH_PAPER,Post-Training Language Models for Gold-Medal Performance in Coding Competitions,"Aleksander Ficek, Sean Narenthiran, Mehrzad Samadi, Somshubra Majumdar, Boris Ginsburg",http://arxiv.org/abs/2609.02849v1,,0,2026-09-02T17:33:37Z,2026-09-03T09:58:53.871825Z
1.0,RESEARCH_PAPER,UE5M3 FP4 Block Scaling for Stable Language Model Pretraining,"Robert Hu, Carlo Luschi, Paul Balanca",http://arxiv.org/abs/2609.02846v1,,0,2026-09-02T17:32:07Z,2026-09-03T09:58:53.871849Z
1.0,RESEARCH_PAPER,Learning Spectral-Like Mesh-Free Discretisations,"Lucas Gerken Starepravo, Henry Broadley, Steven Lind, Jack R. C. King",http://arxiv.org/abs/2609.02833v1,,0,2026-09-02T17:16:16Z,2026-09-03T09:58:53.871877Z
1.0,RESEARCH_PAPER,AI Contextual Measurement for Recovering Individual and Group-Level Effects: Validation Against Survey Measures and an Occupational Application,"Wenxin Jiang, Xuyang Wang, Yuxiao Wu",http://arxiv.org/abs/2609.02821v1,,0,2026-09-02T17:09:30Z,2026-09-03T09:58:53.871906Z
1.0,RESEARCH_PAPER,Cliff: Learning Process Rewards from the First Mistake,"Peixuan Han, Runhui Wang, Ketan Ramaneti, Jie Hao, Gerald Friedland, Chris Kong",http://arxiv.org/abs/2609.02817v1,,0,2026-09-02T17:03:42Z,2026-09-03T09:58:53.871936Z
1.0,RESEARCH_PAPER,Large Language Models (LLMs) for Telecom Root Cause Analysis (RCA): A Structured Reasoning Framework for Evidence-Grounded Diagnosis,"Hao Zhou, Mandar Kulkarni, Hao Chen, Yan Xin, Charlie, Zhang",http://arxiv.org/abs/2609.02805v1,,0,2026-09-02T16:43:22Z,2026-09-03T09:58:53.871965Z
1.0,RESEARCH_PAPER,frb100-40 After Two Decades: An Optimality Certificate and a Preregistered Search Study,Onur Uğurlu,http://arxiv.org/abs/2609.02804v1,,0,2026-09-02T16:40:46Z,2026-09-03T09:58:53.871984Z
1.0,RESEARCH_PAPER,Dutch Books for Language Models,"Isaiah Andrews, Suproteem Sarkar",http://arxiv.org/abs/2609.02797v1,,0,2026-09-02T16:31:47Z,2026-09-03T09:58:53.872005Z
1.0,RESEARCH_PAPER,DiscoSign: Discourse-Aware Text to Sign Language Gloss Translation,"Vasileios Baltatzis, Mert Inan, Connor Gillis, Raja Kushalnagar, Lorna Quandt, Leah Findlater, Colin Lea",http://arxiv.org/abs/2609.02796v1,,0,2026-09-02T16:31:39Z,2026-09-03T09:58:53.872036Z
1.0,RESEARCH_PAPER,Full-Model Optimality for Tunable Linear Generative Priors in Compressed Sensing,"Zhaoming Li, Paul Hand",http://arxiv.org/abs/2609.02790v1,,0,2026-09-02T16:22:26Z,2026-09-03T09:58:53.872057Z
1.0,RESEARCH_PAPER,SafeEvolve: Harness-Policy Co-Evolution from Agent Experience for Safety Alignment,"Qinghua Mao, Wanying Qu, Dadi Guo, Leitao Yuan, Qingyu Liu, Yu Li, Guanxu Chen, Yanwei Fu, Xi Lin, Xia Hu, Dongrui Liu",http://arxiv.org/abs/2609.02786v1,,0,2026-09-02T16:19:54Z,2026-09-03T09:58:53.872095Z
1.0,RESEARCH_PAPER,EarlyEval: Cheaper Agent Evaluation via Early Outcome Prediction,"Yuling Shi, Zhensu Sun, Junsen Dong, Chengcheng Wan, David Lo, Xiaodong Gu",http://arxiv.org/abs/2609.02783v1,,0,2026-09-02T16:15:18Z,2026-09-03T09:58:53.872123Z
1.0,RESEARCH_PAPER,ShallowStream: Index Shallow then Answer Deep for Streaming Video Understanding,"Jitai Hao, Ke Yang, Qiang Huang, Jun Yu",http://arxiv.org/abs/2609.02780v1,https://github.com/CURRENTF/ShallowStream,0,2026-09-02T16:14:48Z,2026-09-03T09:58:53.872152Z
1.0,RESEARCH_PAPER,CodePoisonRAG: Knowledge Poisoning Attacks on Retrieval-Augmented Code Generation,"Varun Gadey, Ziad Marey, Alexandra Dmitrienko",http://arxiv.org/abs/2609.02774v1,,0,2026-09-02T16:11:01Z,2026-09-03T09:58:53.872176Z
1.0,RESEARCH_PAPER,HyperStyler: Low-resource Authorship Style Transfer via Context-aware Style Navigation and Hypernetworks,"Jongkyung Shin, Minguk Jeon, Chanwoo Park, Chiehyeon Lim",http://arxiv.org/abs/2609.02772v1,,0,2026-09-02T16:07:42Z,2026-09-03T09:58:53.872200Z
1.0,RESEARCH_PAPER,From Reweighting to Rewriting: Unlocking the Intervention Effects of Influential Samples in Training Data Attribution,"Yuzhang Luo, Chenpeng Wang, Jianhui Chen, Liangming Pan",http://arxiv.org/abs/2609.02771v1,,0,2026-09-02T16:07:21Z,2026-09-03T09:58:53.872225Z
1.0,RESEARCH_PAPER,"Do Tabular Foundation Models Know Physics? Contamination, Units, and the Deterministic Limit","Wassim Tenachi, Yashar Hezaveh, Laurence Perreault Levasseur, Pierre-Luc Bacon",http://arxiv.org/abs/2609.02766v1,,0,2026-09-02T16:05:40Z,2026-09-03T09:58:53.872249Z
